,title,adult,genre_ids,original_language,popularity,release_date,vote_average,vote_count,Date,Budget,Rank,Worldwide,Domestic,%,Foreign,%.1,Title
2232,Harry Potter and the Chamber of Secrets,False,"[Adventure, Fantasy]",en,32.28,2002-11-13,7.7,13298.0,"Nov 15, 2002"," $100,000,000",," $879,225,135"," $262,233,381",,,,Harry Potter and the Chamber of Secrets
2233,Harry Potter and the Chamber of Secrets 2018 Re-release,,,,,,,,,,526.0,"$245,501","$245,501",100%,-,-,Harry Potter and the Chamber of Secrets 2018 Re-release
2234,Harry Potter and the Deathly Hallows: Part 1,False,"[Adventure, Fantasy]",en,25.875999999999998,2010-10-17,7.8,12096.0,,,,,,,,,Harry Potter and the Deathly Hallows: Part 1
2235,Harry Potter and the Deathly Hallows: Part 1 2018 Re-release,,,,,,,,,,581.0,"$148,263","$148,263",100%,-,-,Harry Potter and the Deathly Hallows: Part 1 2018 Re-release
2236,Harry Potter and the Deathly Hallows: Part 2,False,"[Adventure, Fantasy]",en,28.13,2011-07-07,8.1,12947.0,,,,,,,,,Harry Potter and the Deathly Hallows: Part 2
2237,Harry Potter and the Deathly Hallows: Part 2 2018 Re-release,,,,,,,,,,562.0,"$181,938","$181,938",100%,-,-,Harry Potter and the Deathly Hallows: Part 2 2018 Re-release
2238,Harry Potter and the Deathly Hallows: Part I,,,,,,,,"Nov 18, 2010"," $125,000,000",," $960,431,568"," $296,131,568",,,,Harry Potter and the Deathly Hallows: Part I
2239,Harry Potter and the Deathly Hallows: Part II,,,,,,,,"Jul 13, 2011"," $125,000,000",," $1,341,693,157"," $381,193,157",,,,Harry Potter and the Deathly Hallows: Part II
2240,Harry Potter and the Goblet of Fire,False,"[Adventure, Fantasy, Family]",en,24.763,2005-11-16,7.8,12477.0,"Nov 18, 2005"," $150,000,000",," $897,099,794"," $290,201,752",,,,Harry Potter and the Goblet of Fire
2241,Harry Potter and the Goblet of Fire 2018 Re-release,,,,,,,,,,555.0,"$188,716","$188,716",100%,-,-,Harry Potter and the Goblet of Fire 2018 Re-release
2242,Harry Potter and the Half-Blood Prince,False,"[Adventure, Fantasy]",en,22.061,2009-07-07,7.7,11851.0,"Jul 15, 2009"," $250,000,000",," $935,213,767"," $302,089,278",,,,Harry Potter and the Half-Blood Prince
2243,Harry Potter and the Half-Blood Prince 2018 Re-release,,,,,,,,,,598.0,"$130,081","$130,081",100%,-,-,Harry Potter and the Half-Blood Prince 2018 Re-release
2244,Harry Potter and the Order of the Phoenix,False,"[Adventure, Fantasy, Mystery]",en,26.391,2007-06-28,7.6,12137.0,"Jul 11, 2007"," $150,000,000",," $943,076,457"," $292,137,260",,,,Harry Potter and the Order of the Phoenix
2245,Harry Potter and the Order of the Phoenix 2018 Re-release,,,,,,,,,,593.0,"$132,522","$132,522",100%,-,-,Harry Potter and the Order of the Phoenix 2018 Re-release
2246,Harry Potter and the Philosopher's Stone,False,"[Adventure, Fantasy, Family]",en,38.444,2001-11-16,7.8,15741.0,,,,,,,,,Harry Potter and the Philosopher's Stone
2247,Harry Potter and the Prisoner of Azkaban,False,"[Adventure, Fantasy]",en,28.088,2004-05-31,8.0,13022.0,"Jun 4, 2004"," $130,000,000",," $796,907,323"," $249,757,726",,,,Harry Potter and the Prisoner of Azkaban
2248,Harry Potter and the Prisoner of Azkaban 2018 Re-release,,,,,,,,,,540.0,"$218,774","$218,774",100%,-,-,Harry Potter and the Prisoner of Azkaban 2018 Re-release
2249,Harry Potter and the Sorcerer's Stone 2018 Re-release,,,,,,,,,,503.0,"$295,917","$295,917",100%,-,-,Harry Potter and the Sorcerer's Stone 2018 Re-release
2250,Harry Potter and the Sorcererâs Stone,,,,,,,,"Nov 15, 2001"," $125,000,000",," $975,047,606"," $317,871,467",,,,Harry Potter and the Sorcererâs Stone
2251,Hart's War,,,,,,,,"Feb 15, 2002"," $70,000,000",," $33,076,815"," $19,076,815",,,,Hart's War
2252,Harvey,False,[Comedy],en,9.193999999999999,1950-12-04,7.8,312.0,,,,,,,,,Harvey
2253,Have It All -The Movie,,,,,,,,,,552.0,"$197,142","$197,142",100%,-,-,Have It All -The Movie
2254,Have a Nice Day,,,,,,,,,,443.0,"$504,003","$79,393",15.8%,"$424,610",84.2%,Have a Nice Day
2255,Havenhurst,,,,,,,,,,427.0,"$279,372",-,-,"$279,372",100%,Havenhurst
2256,Hayride 2,,,,,,,,,,712.0,"$2,571","$2,571",100%,-,-,Hayride 2
2257,He Named Me Malala,,,,,,,,,,282.0,"$3,433,606","$2,668,936",77.7%,"$764,670",22.3%,He Named Me Malala
2258,He's Just Not That Into You,,,,,,,,"Feb 6, 2009"," $40,000,000",," $181,053,657"," $93,953,653",,,,He's Just Not That Into You
2259,He's Out There,,,,,,,,,,435.0,"$544,674",-,-,"$544,674",100%,He's Out There
2260,Head Full of Honey,False,"[Comedy, Drama]",de,8.696,2014-12-25,7.6,213.0,,,589.0,"$138,844","$12,350",8.9%,"$126,494",91.1%,Head Full of Honey
2261,Head of State,,,,,,,,"Mar 28, 2003"," $35,200,000",," $38,283,765"," $37,788,228",,,,Head of State
2262,Head-On,False,"[Drama, Romance]",de,8.949,2004-03-11,7.5,277.0,,,,,,,,,Head-On
2263,Headhunters,False,"[Action, Crime, Thriller]",no,8.097000000000001,2011-08-04,7.3,686.0,,,,,,,,,Headhunters
2264,Heading Home: The Tale of Team Israel,,,,,,,,,,546.0,"$207,533","$207,533",100%,-,-,Heading Home: The Tale of Team Israel
2265,Headshot,,,,,,,,,,529.0,"$73,010",-,-,"$73,010",100%,Headshot
2266,Heal,,,,,,,,,,677.0,"$12,668","$12,668",100%,-,-,Heal
2267,Heal the Living,,,,,,,,,,305.0,"$2,223,529","$3,176",0.1%,"$2,220,353",99.9%,Heal the Living
2268,Heart Blackened,,,,,,,,,,281.0,"$3,593,480","$37,047",1%,"$3,556,433",99%,Heart Blackened
2269,Heart of a Dog,,,,,,,,,,412.0,"$476,384","$420,813",88.3%,"$55,571",11.7%,Heart of a Dog
2270,Heartbeats,False,"[Drama, Romance]",fr,7.77,2010-05-16,7.3,582.0,,,,,,,,,Heartbeats
2271,Heartbreak Ridge,False,"[Action, Comedy, Drama, War]",en,10.045,1986-12-05,6.7,494.0,,,,,,,,,Heartbreak Ridge
2272,Heartbreakers,,,,,,,,"Mar 23, 2001"," $38,000,000",," $57,753,825"," $40,334,024",,,,Heartbreakers
2273,Hearts Beat Loud,,,,,,,,,,312.0,"$2,417,165","$2,386,251",98.7%,"$30,914",1.3%,Hearts Beat Loud
2274,Hearts in Atlantis,,,,,,,,"Sep 28, 2001"," $31,000,000",," $30,885,781"," $24,185,781",,,,Hearts in Atlantis
2275,Heat,False,"[Action, Crime, Drama, Thriller]",en,14.389000000000001,1995-12-15,7.8,3692.0,,,,,,,,,Heat
2276,Heat and Dust 2017 Re-release,,,,,,,,,,635.0,"$19,856","$19,856",100%,-,-,Heat and Dust 2017 Re-release
2277,Heathers,False,"[Comedy, Drama, Thriller]",en,10.692,1989-03-31,7.4,915.0,,,,,,,,,Heathers
2278,Heaven Knows What,,,,,,,,,,515.0,"$84,417","$80,734",95.6%,"$3,683",4.4%,Heaven Knows What
2279,Heaven and Hell,,,,,,,,"Dec 16, 2022"," $40,000,000",, $0, $0,,,,Heaven and Hell
2280,Heaven's Gate,,,,,,,,"Nov 19, 1980"," $44,000,000",," $3,484,523"," $3,484,331",,,,Heaven's Gate
2281,Heavy Trip,,,,,,,,,,762.0,"$22,460","$10,153",45.2%,"$12,307",54.8%,Heavy Trip
2282,Heavy Water,,,,,,,,,,496.0,"$99,503","$55,446",55.7%,"$44,057",44.3%,Heavy Water
2283,Heist,,,,,,,,"Nov 9, 2001"," $35,000,000",287.0,"$3,294,317","$50,136",1.5%,"$3,244,181",98.5%,Heist
2284,Helicopter Eela,,,,,,,,,,524.0,"$256,952","$71,971",28%,"$184,981",72%,Helicopter Eela
2285,Hell Fest,,,,,,,,,,172.0,"$18,159,691","$11,107,431",61.2%,"$7,052,260",38.8%,Hell Fest
2286,Hell and Back,,,,,,,,,,470.0,"$157,768","$157,768",100%,-,-,Hell and Back
2287,Hell or High Water,False,"[Crime, Western]",en,13.244000000000002,2016-08-12,7.3,2774.0,,,132.0,"$37,879,877","$27,007,844",71.3%,"$10,872,033",28.7%,Hell or High Water
2288,Hellboy,,,,,,,,"Apr 2, 2004"," $60,000,000",106.0,"$44,664,690","$21,903,748",49%,"$22,760,942",51%,Hellboy
2290,Hellboy II: The Golden Army,,,,,,,,"Jul 11, 2008"," $82,500,000",," $160,388,063"," $75,986,503",,,,Hellboy II: The Golden Army
2291,"Hello, Dolly!",,,,,,,,,,354.0,"$400,881","$400,881",100%,-,-,"Hello, Dolly!"
2292,"Hello, My Name Is Doris",,,,,,,,,,191.0,"$14,659,448","$14,444,999",98.5%,"$214,449",1.5%,"Hello, My Name Is Doris"
2293,Henchmen,,,,,,,,,,889.0,"$1,469","$1,469",100%,-,-,Henchmen
2294,Heneral Luna,,,,,,,,,,268.0,"$4,625,639","$206,040",4.5%,"$4,419,599",95.5%,Heneral Luna
2295,Her,False,"[Drama, Science Fiction, Romance]",en,18.487000000000002,2013-12-18,7.9,9056.0,,,,,,,,,Her
2296,Her Smell,,,,,,,,,,402.0,"$260,481","$255,599",98.1%,"$4,882",1.9%,Her Smell
2297,Herbie: Fully Loaded,,,,,,,,"Jun 22, 2005"," $50,000,000",," $144,110,682"," $66,010,682",,,,Herbie: Fully Loaded
2298,Hercules,False,"[Adventure, Animation, Comedy, Fantasy, Romance, Family]",en,15.125,1997-06-20,7.5,4402.0,"Jul 23, 2014"," $100,000,000",," $243,388,614"," $72,688,614",,,,Hercules
2300,Here Comes the Boom,,,,,,,,"Oct 10, 2012"," $42,000,000",," $73,239,258"," $45,290,318",,,,Here Comes the Boom
2301,Here and Now,,,,,,,,,,676.0,"$61,271","$13,892",22.7%,"$47,379",77.3%,Here and Now
2302,Hereafter,,,,,,,,"Oct 15, 2010"," $50,000,000",," $108,660,270"," $32,746,941",,,,Hereafter
2303,Hereditary,,,,,,,,,,80.0,"$80,239,658","$44,069,456",54.9%,"$36,170,202",45.1%,Hereditary
2304,Hermia & Helena,,,,,,,,,,562.0,"$44,156","$43,152",97.7%,"$1,004",2.3%,Hermia & Helena
2305,Hero,False,"[Drama, Adventure, Action, History]",zh,11.937000000000001,2002-07-22,7.5,1230.0,"Oct 2, 1992"," $42,000,000",125.0,"$45,565,534","$88,675",0.2%,"$45,476,859",99.8%,Hero
2306,Hesburgh,,,,,,,,,,429.0,"$204,709","$204,709",100%,-,-,Hesburgh
2307,Hichki,,,,,,,,,,144.0,"$26,055,222","$330,279",1.3%,"$25,724,943",98.7%,Hichki
2308,Hidalgo,,,,,,,,"Mar 5, 2004"," $78,000,000",," $108,086,731"," $67,286,731",,,,Hidalgo
2309,Hidden Figures,False,"[Drama, History]",en,23.145,2016-12-10,8.0,5476.0,,,38.0,"$235,956,898","$169,607,287",71.9%,"$66,349,611",28.1%,Hidden Figures
2310,"Hieronymus Bosch, Touched by the Devil",,,,,,,,,,443.0,"$201,907","$172,533",85.5%,"$29,374",14.5%,"Hieronymus Bosch, Touched by the Devil"
2311,High Anxiety,False,"[Comedy, Music]",en,6.649,1977-12-25,6.5,162.0,,,,,,,,,High Anxiety
2312,High Crimes,,,,,,,,"Apr 5, 2002"," $42,000,000",," $63,781,100"," $41,543,207",,,,High Crimes
2313,High Life,,,,,,,,,,323.0,"$2,133,033","$1,225,852",57.5%,"$907,181",42.5%,High Life
2314,High Noon,False,[Western],en,11.857000000000001,1952-06-09,7.7,721.0,,,,,,,,,High Noon
2315,High Plains Drifter,False,[Western],en,11.407,1973-04-19,7.5,534.0,,,,,,,,,High Plains Drifter
2316,High Strung,,,,,,,,,,308.0,"$2,084,451","$53,447",2.6%,"$2,031,004",97.4%,High Strung
2317,High Strung Free Dance 2019 Re-release,,,,,,,,,,497.0,"$98,481","$83,891",85.2%,"$14,590",14.8%,High Strung Free Dance 2019 Re-release
2318,High and Low,False,"[Crime, Drama, Mystery, Thriller]",ja,10.181000000000001,1963-03-01,8.3,268.0,,,,,,,,,High and Low
2319,High on the Hog,,,,,,,,,,542.0,"$45,696","$45,696",100%,-,-,High on the Hog
2320,High-Rise,,,,,,,,,,278.0,"$4,286,576","$346,472",8.1%,"$3,940,104",91.9%,High-Rise
2321,Higher Power,,,,,,,,,,898.0,$528,$528,100%,-,-,Higher Power
2322,Hillary's America: The Secret History of the Democratic Party,,,,,,,,,,197.0,"$13,099,931","$13,099,931",100%,-,-,Hillary's America: The Secret History of the Democratic Party
2323,Hillsong: Let Hope Rise,,,,,,,,,,299.0,"$2,649,761","$2,394,386",90.4%,"$255,375",9.6%,Hillsong: Let Hope Rise
2324,Hiroshima Mon Amour,False,"[Drama, History, Romance]",fr,11.472999999999999,1959-06-10,7.9,333.0,,,,,,,,,Hiroshima Mon Amour
2325,His Girl Friday,False,"[Comedy, Drama, Romance]",en,10.238,1940-01-18,7.5,382.0,,,,,,,,,His Girl Friday
2326,His Secret Life,False,[Drama],it,7.132000000000001,2001-03-16,7.4,295.0,,,,,,,,,His Secret Life
2327,Hitch,False,"[Comedy, Drama, Romance]",en,11.398,2005-02-11,6.4,3547.0,"Feb 11, 2005"," $55,000,000",," $366,784,257"," $177,784,257",,,,Hitch
2328,Hitchcock/Truffaut,,,,,,,,,,429.0,"$386,471","$260,430",67.4%,"$126,041",32.6%,Hitchcock/Truffaut
2329,Hitler's Hollywood,,,,,,,,,,707.0,"$43,766","$43,766",100%,-,-,Hitler's Hollywood
2330,Hitman: Agent 47,,,,,,,,"Aug 19, 2015"," $35,000,000",85.0,"$82,347,656","$22,467,450",27.3%,"$59,880,206",72.7%,Hitman: Agent 47
2331,Ho Mann Jahaan,,,,,,,,,,426.0,"$281,926","$208,611",74%,"$73,315",26%,Ho Mann Jahaan
2332,Hockney 2016 Re-release,,,,,,,,,,481.0,"$120,745","$120,745",100%,-,-,Hockney 2016 Re-release
2333,Hoffa,,,,,,,,"Dec 25, 1992"," $35,000,000",," $28,391,473"," $23,365,858",,,,Hoffa
2334,Hold Your Breath,,,,,,,,,,299.0,"$2,842,040","$77,987",2.7%,"$2,764,053",97.3%,Hold Your Breath
2335,Holding the Man,False,[Drama],en,6.505,2015-08-27,7.9,290.0,,,,,,,,,Holding the Man
2336,Holidays,,,,,,,,,,549.0,"$55,621",-,-,"$55,621",100%,Holidays
2337,Hollow Man,,,,,,,,"Aug 4, 2000"," $90,000,000",," $191,200,000"," $73,209,340",,,,Hollow Man
2338,Hollow in the Land,,,,,,,,,,687.0,"$10,688",-,-,"$10,688",100%,Hollow in the Land
2339,Hollywood Homicide,,,,,,,,"Jun 13, 2003"," $75,000,000",," $50,409,753"," $30,207,785",,,,Hollywood Homicide
2340,Holmes & Watson,,,,,,,,"Dec 20, 2018"," $42,000,000",119.0,"$40,466,970","$30,573,626",75.6%,"$9,893,344",24.4%,Holmes & Watson
2341,Holy Hell,,,,,,,,,,648.0,"$18,051","$18,051",100%,-,-,Holy Hell
2343,Holy Man,,,,,,,,"Oct 9, 1998"," $60,000,000",," $12,069,719"," $12,069,719",,,,Holy Man
2344,Home,False,"[Animation, Comedy, Fantasy, Science Fiction, Family]",en,12.112,2015-03-18,6.8,2599.0,"Mar 19, 2015"," $130,000,000",20.0,"$386,041,607","$177,397,510",46%,"$208,644,097",54%,Home
2345,Home Again,,,,,,,,,,126.0,"$37,270,721","$27,020,284",72.5%,"$10,250,437",27.5%,Home Again
2346,Home Alone,False,"[Comedy, Family]",en,0.76,1990-11-09,7.3,6199.0,,,,,,,,,Home Alone
2347,Home Alone 2: Lost in New York,False,"[Comedy, Family, Adventure, Crime]",en,16.024,1992-11-19,6.5,5659.0,,,,,,,,,Home Alone 2: Lost in New York
2348,Home on the Range,,,,,,,,"Apr 2, 2004"," $110,000,000",," $76,482,461"," $50,026,353",,,,Home on the Range
2349,Homeland (Iraq Year Zero),,,,,,,,,,749.0,"$2,491","$2,491",100%,-,-,Homeland (Iraq Year Zero)
2350,Honey Boy,,,,,,,,,,228.0,"$3,225,360","$3,012,615",93.4%,"$212,745",6.6%,Honey Boy
2351,"Honey, I Shrunk the Kids",False,"[Adventure, Comedy, Science Fiction, Family]",en,13.084000000000001,1989-06-22,6.2,1742.0,,,,,,,,,"Honey, I Shrunk the Kids"
2352,Honeyland,,,,,,,,,,297.0,"$846,646","$815,082",96.3%,"$31,564",3.7%,Honeyland
2353,Hook,False,"[Adventure, Fantasy, Comedy, Family]",en,9.95,1991-12-11,6.9,3343.0,"Dec 11, 1991"," $70,000,000",," $300,854,823"," $119,654,823",,,,Hook
2354,Hooligan Sparrow,,,,,,,,,,695.0,"$9,263","$9,263",100%,-,-,Hooligan Sparrow
2355,Hooper,False,"[Action, Comedy]",en,4.989,1978-07-28,6.3,59.0,,,,,,,,,Hooper
2356,Hop,,,,,,,,"Apr 1, 2011"," $63,000,000",," $188,657,593"," $108,085,305",,,,Hop
2357,Horn from the Heart: The Paul Butterfield Story,,,,,,,,,,683.0,"$58,597","$58,597",100%,-,-,Horn from the Heart: The Paul Butterfield Story
2358,Horrible Bosses,,,,,,,,"Jul 8, 2011"," $35,000,000",," $212,417,601"," $117,538,559",,,,Horrible Bosses
2359,Horrible Bosses 2,,,,,,,,"Nov 26, 2014"," $40,000,000",," $105,945,357"," $54,445,357",,,,Horrible Bosses 2
2360,Horse Money,,,,,,,,,,669.0,"$6,508","$6,508",100%,-,-,Horse Money
2361,Horton Hears a Who,,,,,,,,"Mar 14, 2008"," $85,000,000",," $299,477,886"," $154,529,439",,,,Horton Hears a Who
2362,Horton Hears a Who!,False,"[Adventure, Animation, Comedy, Fantasy, Family]",en,15.174000000000001,2008-03-03,6.3,2005.0,,,,,,,,,Horton Hears a Who!
2363,Hostage,,,,,,,,"Mar 11, 2005"," $75,000,000",," $77,636,443"," $34,636,443",,,,Hostage
2364,Hostiles,,,,,,,,"Dec 22, 2017"," $50,000,000",129.0,"$35,669,017","$29,819,114",83.6%,"$5,849,903",16.4%,Hostiles
2365,Hot Fuzz,False,"[Action, Comedy, Crime]",en,14.292,2007-02-14,7.5,4517.0,,,,,,,,,Hot Fuzz
2366,Hot Pursuit,,,,,,,,"May 8, 2015"," $35,000,000",114.0,"$51,380,201","$34,580,201",67.3%,"$16,800,000",32.7%,Hot Pursuit
2367,Hot Shots!,False,"[Action, Comedy, War]",en,12.036,1991-07-31,6.5,1119.0,,,,,,,,,Hot Shots!
2368,Hot Shots! Part Deux,False,"[Action, Comedy, War]",en,16.225,1993-05-21,6.4,934.0,,,,,,,,,Hot Shots! Part Deux
2369,Hot Summer Nights,,,,,,,,,,525.0,"$246,133",-,-,"$246,133",100%,Hot Summer Nights
2370,Hot Tub Time Machine,,,,,,,,"Mar 26, 2010"," $36,000,000",," $65,967,750"," $50,269,859",,,,Hot Tub Time Machine
2371,Hot Tub Time Machine 2,,,,,,,,,,205.0,"$13,081,651","$12,314,651",94.1%,"$767,000",5.9%,Hot Tub Time Machine 2
2372,Hot Water,,,,,,,,,,675.0,"$12,101","$12,101",100%,-,-,Hot Water
2373,Hot to Trot,,,,,,,,,,882.0,"$3,133","$3,133",100%,-,-,Hot to Trot
2374,Hotarubi no Mori e,False,"[Romance, Animation, Fantasy]",ja,0.6,2011-09-17,8.1,330.0,,,,,,,,,Hotarubi no Mori e
2375,Hotel Artemis,,,,,,,,,,194.0,"$13,313,581","$6,708,147",50.4%,"$6,605,434",49.6%,Hotel Artemis
2376,Hotel Mumbai,False,"[Action, Drama, History, Thriller]",en,15.13,2019-03-14,7.4,492.0,,,136.0,"$21,314,816","$9,651,611",45.3%,"$11,663,205",54.7%,Hotel Mumbai
2377,Hotel Rwanda,False,"[Drama, History, War]",en,11.18,2004-09-11,7.7,1632.0,,,,,,,,,Hotel Rwanda
2378,Hotel Transylvania,False,"[Animation, Comedy, Family, Fantasy]",en,14.513,2012-09-20,6.9,5646.0,"Sep 27, 2012"," $85,000,000",," $378,505,812"," $148,313,048",,,,Hotel Transylvania
2379,Hotel Transylvania 2,False,"[Animation, Comedy, Fantasy, Family]",en,14.003,2015-09-21,6.7,3551.0,"Sep 23, 2015"," $80,000,000",15.0,"$474,800,000","$169,700,110",35.7%,"$305,099,890",64.3%,Hotel Transylvania 2
2380,Hotel Transylvania 3: Summer Vacation,,,,,,,,"Jun 22, 2018"," $65,000,000",17.0,"$528,583,774","$167,510,016",31.7%,"$361,073,758",68.3%,Hotel Transylvania 3: Summer Vacation
2381,Hotel by the River,,,,,,,,,,494.0,"$101,879","$28,354",27.8%,"$73,525",72.2%,Hotel by the River
2382,Hotel for Dogs,,,,,,,,"Jan 16, 2009"," $35,000,000",," $122,357,172"," $73,178,547",,,,Hotel for Dogs
2383,Hour of the Wolf,False,"[Drama, Horror]",sv,7.181,1968-02-19,7.6,218.0,,,,,,,,,Hour of the Wolf
2384,House Calls,False,"[Comedy, Romance]",en,1.96,1978-03-15,7.3,6.0,,,,,,,,,House Calls
2385,House of Flying Daggers,False,"[Adventure, Drama, Action, Romance]",zh,15.89,2004-05-19,7.3,851.0,,,,,,,,,House of Flying Daggers
2386,House of Wax,,,,,,,,"May 6, 2005"," $35,000,000",," $70,064,800"," $32,064,800",,,,House of Wax
2387,Housefull 3,,,,,,,,,,316.0,"$1,944,262","$1,326,999",68.3%,"$617,263",31.7%,Housefull 3
2388,Housefull 4,,,,,,,,,,202.0,"$4,624,936","$2,109,160",45.6%,"$2,515,776",54.4%,Housefull 4
2389,How Do You Know?,,,,,,,,"Dec 17, 2010"," $120,000,000",," $49,628,177"," $30,212,620",,,,How Do You Know?
2390,How He Fell in Love,,,,,,,,,,651.0,"$17,575","$17,575",100%,-,-,How He Fell in Love
2391,How Long Will I Love U,,,,,,,,,,52.0,"$136,796,719","$746,933",0.5%,"$136,049,786",99.5%,How Long Will I Love U
2392,How To Talk To Girls at Parties,,,,,,,,,,471.0,"$385,733","$84,809",22%,"$300,924",78%,How To Talk To Girls at Parties
2393,How Viktor 'The Garlic' Took Alexey 'The Stud' to the Nursing Home,,,,,,,,,,501.0,"$112,071","$12,954",11.6%,"$99,117",88.4%,How Viktor 'The Garlic' Took Alexey 'The Stud' to the Nursing Home
2394,How the Grinch Stole Christmas,False,"[Comedy, Fantasy, Family]",en,11.937000000000001,2000-11-17,6.6,4159.0,"Nov 17, 2000"," $123,000,000",," $345,141,403"," $260,044,825",,,,How the Grinch Stole Christmas
2395,How the Grinch Stole Christmas!,False,"[Animation, Family, Comedy]",en,9.293,1966-12-18,7.4,590.0,,,,,,,,,How the Grinch Stole Christmas!
2396,How to Be Single,,,,,,,,,,72.0,"$112,343,513","$46,843,513",41.7%,"$65,500,000",58.3%,How to Be Single
2397,How to Be a Latin Lover,,,,,,,,,,89.0,"$62,547,032","$32,149,404",51.4%,"$30,397,628",48.6%,How to Be a Latin Lover
2398,How to Let Go of the World: and Love All the Things Climate Can't Change,,,,,,,,,,579.0,"$36,386","$36,386",100%,-,-,How to Let Go of the World: and Love All the Things Climate Can't Change
2399,How to Lose a Guy in 10 Days,,,,,,,,"Feb 7, 2003"," $50,000,000",," $178,890,782"," $105,807,520",,,,How to Lose a Guy in 10 Days
2400,How to Steal a Million,False,"[Comedy, Crime]",en,10.630999999999998,1966-07-13,7.6,283.0,,,,,,,,,How to Steal a Million
2401,How to Train Your Dragon,False,"[Adventure, Animation, Fantasy, Family]",en,24.737,2010-03-10,7.7,8587.0,"Mar 26, 2010"," $165,000,000",," $494,870,992"," $217,581,232",,,,How to Train Your Dragon
2402,How to Train Your Dragon 2,False,"[Action, Adventure, Animation, Comedy, Fantasy, Family]",en,21.413,2014-06-09,7.7,6300.0,"Jun 5, 2014"," $145,000,000",," $614,586,270"," $177,002,924",,,,How to Train Your Dragon 2
2403,How to Train Your Dragon: The Hidden World,False,"[Adventure, Animation, Family]",en,31.416,2019-01-03,7.7,3090.0,"Jan 3, 2019"," $129,000,000",14.0,"$521,799,505","$160,799,505",30.8%,"$361,000,000",69.2%,How to Train Your Dragon: The Hidden World
2404,How to be Single,,,,,,,,"Feb 8, 2016"," $37,000,000",," $100,003,780"," $46,843,513",,,,How to be Single
2405,Howards End 2016 Re-release,,,,,,,,,,412.0,"$349,993","$160,282",45.8%,"$189,711",54.2%,Howards End 2016 Re-release
2406,Howl's Moving Castle,False,"[Adventure, Animation, Fantasy]",ja,24.680999999999997,2004-11-19,8.4,4554.0,,,,,,,,,Howl's Moving Castle
2407,Howl's Moving Castle 2019 Re-release,,,,,,,,,,295.0,"$865,647","$865,647",100%,-,-,Howl's Moving Castle 2019 Re-release
2408,Hudson Hawk,,,,,,,,"May 24, 1991"," $65,000,000",," $17,218,916"," $17,218,916",,,,Hudson Hawk
2409,Huevos: Little Rooster's Egg-cellent Adventure,,,,,,,,,,164.0,"$25,892,561","$9,080,818",35.1%,"$16,811,743",64.9%,Huevos: Little Rooster's Egg-cellent Adventure
2410,Hugo,,,,,,,,"Nov 23, 2011"," $180,000,000",," $180,047,784"," $73,864,507",,,,Hugo
2411,Hulk,False,"[Action, Science Fiction]",en,21.401999999999997,2003-06-19,5.4,3580.0,"Jun 20, 2003"," $137,000,000",," $245,075,434"," $132,177,234",,,,Hulk
2412,Human Capital,False,[Drama],it,6.242000000000001,2014-01-09,7.5,559.0,,,,,,,,,Human Capital
2413,Human Flow,,,,,,,,,,328.0,"$1,824,537","$527,845",28.9%,"$1,296,692",71.1%,Human Flow
2414,Humor Me,,,,,,,,,,712.0,"$40,099","$40,099",100%,-,-,Humor Me
2415,Hungry Hearts,,,,,,,,,,399.0,"$534,549","$6,921",1.3%,"$527,628",98.7%,Hungry Hearts
2416,Hunt for the Wilderpeople,False,"[Adventure, Comedy, Drama]",en,12.087,2016-03-31,7.8,1077.0,,,170.0,"$22,591,592","$5,205,468",23%,"$17,386,124",77%,Hunt for the Wilderpeople
2417,Hunter Gatherer,,,,,,,,,,637.0,"$19,462","$19,462",100%,-,-,Hunter Gatherer
2418,Hunter Killer,,,,,,,,"Oct 19, 2018"," $40,000,000",133.0,"$31,672,678","$15,767,460",49.8%,"$15,905,218",50.2%,Hunter Killer
2419,Huo guo ying xiong,,,,,,,,,,104.0,"$58,106,427","$779,818",1.3%,"$57,326,609",98.7%,Huo guo ying xiong
2420,Husband Material,,,,,,,,,,377.0,"$1,016,545","$567,417",55.8%,"$449,128",44.2%,Husband Material
2421,Hustlers,,,,,,,,,,49.0,"$157,563,598","$104,963,598",66.6%,"$52,600,000",33.4%,Hustlers
2422,Hyena,,,,,,,,,,702.0,"$3,586","$3,401",94.8%,$185,5.2%,Hyena
2423,Hyena Road,,,,,,,,,,512.0,"$87,768","$1,430",1.6%,"$86,338",98.4%,Hyena Road
